SAMPLE_ID	mutations
TARGET-15-SJMPAL040039-09A.1	WXS
TARGET-15-SJMPAL040039-09A.2	WXS
TARGET-15-SJMPAL040039-09B	NA
TARGET-15-SJMPAL040459-09A	NA
TARGET-15-SJMPAL040459-09B	NA
TARGET-15-SJMPAL041117-09A	NA
TARGET-15-SJMPAL041117-09A.1	WXS
TARGET-15-SJMPAL041117-09A.2	WXS
TARGET-15-SJMPAL041117-09B	NA
TARGET-15-SJMPAL041118-09A	NA
TARGET-15-SJMPAL041118-09A.1	WXS
TARGET-15-SJMPAL041118-09A.2	WXS
TARGET-15-SJMPAL041118-09A.3	WXS
TARGET-15-SJMPAL041119-09A	NA
TARGET-15-SJMPAL041119-09A.1	WXS
TARGET-15-SJMPAL041119-09A.2	WXS
TARGET-15-SJMPAL041119-09B	NA
TARGET-15-SJMPAL041120-09A	NA
TARGET-15-SJMPAL041120-09A.1	WXS
TARGET-15-SJMPAL041120-09B	NA
TARGET-15-SJMPAL041122-09A	NA
TARGET-15-SJMPAL041122-09A.1	WXS
TARGET-15-SJMPAL041122-09A.2	WXS
TARGET-15-SJMPAL041122-09A.3	WXS
TARGET-15-SJMPAL042787-09A	NA
TARGET-15-SJMPAL042787-09A.1	WXS
TARGET-15-SJMPAL042787-09A.2	WXS
TARGET-15-SJMPAL042787-09B	NA
TARGET-15-SJMPAL042789-09A.1	WXS
TARGET-15-SJMPAL042789-09A.2	WXS
TARGET-15-SJMPAL042789-09A.3	WXS
TARGET-15-SJMPAL042791-09A	NA
TARGET-15-SJMPAL042791-09B	NA
TARGET-15-SJMPAL042792-09A	NA
TARGET-15-SJMPAL042792-09A.1	WXS
TARGET-15-SJMPAL042792-09A.2	WXS
TARGET-15-SJMPAL042792-09A.3	WXS
TARGET-15-SJMPAL042793-09A	NA
TARGET-15-SJMPAL042793-09B	NA
TARGET-15-SJMPAL042794-09A	NA
TARGET-15-SJMPAL042794-09A.1	WXS
TARGET-15-SJMPAL042794-09A.2	WXS
TARGET-15-SJMPAL042794-09A.3	WXS
TARGET-15-SJMPAL042794-09B	NA
TARGET-15-SJMPAL042795-09A.1	WXS
TARGET-15-SJMPAL042795-09A.2	WXS
TARGET-15-SJMPAL042795-09A.3	WXS
TARGET-15-SJMPAL042796-09A	NA
TARGET-15-SJMPAL042797-09A	NA
TARGET-15-SJMPAL042798-09A	NA
TARGET-15-SJMPAL042798-09B	NA
TARGET-15-SJMPAL042799-09A	NA
TARGET-15-SJMPAL042799-09B	NA
TARGET-15-SJMPAL042801-09A	NA
TARGET-15-SJMPAL042801-09B	NA
TARGET-15-SJMPAL042941-09A.2	WXS
TARGET-15-SJMPAL042943-09A	WXS
TARGET-15-SJMPAL042946-04B	NA
TARGET-15-SJMPAL042946-09A	NA
TARGET-15-SJMPAL042946-09B	NA
TARGET-15-SJMPAL043505-09B	NA
TARGET-15-SJMPAL043506-04B	NA
TARGET-15-SJMPAL043507-04B	NA
TARGET-15-SJMPAL043508-09B	NA
TARGET-15-SJMPAL043509-04A	NA
TARGET-15-SJMPAL043510-09A	NA
TARGET-15-SJMPAL043511-09B	NA
TARGET-15-SJMPAL043512-09A	WXS
TARGET-15-SJMPAL043512-09B	NA
TARGET-15-SJMPAL043513-04B	NA
TARGET-15-SJMPAL043514-09A	WXS
TARGET-15-SJMPAL043767-09B	NA
TARGET-15-SJMPAL043768-09B	NA
TARGET-15-SJMPAL043769-03B	NA
TARGET-15-SJMPAL043770-09B	NA
TARGET-15-SJMPAL043771-09B	NA
TARGET-15-SJMPAL043772-04B	NA
TARGET-15-SJMPAL043773-03B	NA
TARGET-15-SJMPAL043773-40A	NA
TARGET-15-SJMPAL043774-09B	NA
TARGET-15-SJMPAL043775-09B	NA
TARGET-15-SJMPAL044948-09A	NA
TARGET-15-SJMPAL044949-09A	NA
TARGET-15-SJMPAL044950-09A	WXS
TARGET-15-SJMPAL044953-09A	NA
TARGET-15-SJMPAL044956-09A	WXS
TARGET-15-SJMPAL044957-09A	WXS
TARGET-15-SJMPAL046466-09A	NA
TARGET-15-SJMPAL046466-09A.1	WXS
TARGET-15-SJMPAL046466-09A.2	WXS
TARGET-15-SJMPAL046467-09A	NA
TARGET-15-SJMPAL046468-09A	NA
TARGET-15-SJMPAL046468-09A.1	WXS
TARGET-15-SJMPAL046469-09A	WXS
TARGET-15-SJMPAL046470-09A	NA
TARGET-15-SJMPAL046470-09A.1	WXS
TARGET-15-SJMPAL046470-09A.2	WXS
TARGET-15-SJMPAL046471-09A	NA
TARGET-15-SJMPAL046471-09A.1	WXS
TARGET-15-SJMPAL046471-09A.2	WXS
TARGET-15-SJMPAL046472-09A	NA
TARGET-20-SJAML003320-09A	NA
TARGET-20-SJAML003322-09A	NA
TARGET-20-SJAML007112-09A	NA
TARGET-20-SJAML007113-09A	NA
TARGET-20-SJAML016570-09A	NA
TARGET-20-SJAML040268-09A	NA
TARGET-20-SJAML045734-09A	NA
TARGET-20-SJAML045735-09A	NA
TARGET-20-SJAML045736-09A	NA
TARGET-20-SJAML045737-09A	NA
TARGET-20-SJAML045738-09A	NA
TARGET-20-SJAML045739-09A	NA
TARGET-20-SJAML045740-09A	NA
TARGET-20-SJAML045741-09A	NA
TARGET-20-SJAML045742-09A	NA
